[2.7778090492537064, 0.2173405885696411]
epoch=0, time=15.449963 s[3.3346718872443253, 0.16212136298418045]
epoch=1, time=0.740314 s[1.6035301625491476, 0.13607150316238403]
epoch=2, time=0.830843 s[1.240022412342953, 0.09206847846508026]
epoch=3, time=0.849427 s[1.153446803093182, 0.11882462352514267]
epoch=4, time=0.838939 s[1.151120120968092, 0.09092456847429276]
epoch=5, time=0.843673 s[1.4092823910977408, 0.0966542400419712]
epoch=6, time=0.907314 s[1.409897034026686, 0.0744854137301445]
epoch=7, time=0.842423 s[1.0642733816752445, 0.11905119940638542]
epoch=8, time=0.843718 s[1.016059109837844, 0.14056803286075592]
epoch=9, time=0.839379 s[2.0334978244925273, 0.09023353829979897]
epoch=10, time=1.035262 s[1.3698495775061408, 0.06975481659173965]
epoch=11, time=0.743989 s[1.217839307563114, 0.06982015818357468]
epoch=12, time=0.836046 s[1.0916442826480306, 0.0837128795683384]
epoch=13, time=0.838909 s[0.9623259370170226, 0.13737224787473679]
epoch=14, time=0.843382 s[0.9393029462320772, 0.13983147591352463]
epoch=15, time=0.848208 s[1.7075414008558614, 0.08997736498713493]
epoch=16, time=0.845255 s[1.992381601468587, 0.05119477957487106]
epoch=17, time=0.844604 s[1.3958143528705156, 0.06395106017589569]
epoch=18, time=0.845195 s[1.2919841659823135, 0.05402306467294693]
epoch=19, time=0.841564 s[1.2415114520876676, 0.05978458933532238]
epoch=20, time=1.025908 s[1.1950238207639252, 0.0724555067718029]
epoch=21, time=0.793778 s[1.1058868538222395, 0.08307968080043793]
epoch=22, time=0.849115 s[1.2368599545211802, 0.0714179277420044]
epoch=23, time=0.848348 s[1.6184089263005186, 0.05172033980488777]
epoch=24, time=0.865136 s[1.2998101189682894, 0.05051697790622711]
epoch=25, time=0.854151 s[1.1881056540524808, 0.07706933096051216]
epoch=26, time=0.826293 s[1.0711817025424395, 0.09480275213718414]
epoch=27, time=0.827417 s[1.1466109882993623, 0.09849292039871216]
epoch=28, time=0.857958 s[1.4815492613567494, 0.09059668332338333]
epoch=29, time=0.865192 s[1.2236932408930312, 0.07601677626371384]
epoch=30, time=1.032454 s[1.117072103670599, 0.09136281907558441]
epoch=31, time=0.747852 s[1.0599479118642945, 0.10109017044305801]
epoch=32, time=0.857286 s[0.9982714031673038, 0.13834218308329582]
epoch=33, time=0.850482 s[0.9461338754934769, 0.18409142643213272]
epoch=34, time=0.848024 s[1.1611775857687097, 0.137458898127079]
epoch=35, time=0.850809 s[1.4746310197928616, 0.09639302268624306]
epoch=36, time=0.856867 s[1.061814535106107, 0.09296515211462975]
epoch=37, time=0.860234 s[0.9847116894597188, 0.11068838462233543]
epoch=38, time=0.858848 s[0.9931267127317799, 0.1166197918355465]
epoch=39, time=0.861063 s[1.304845511665164, 0.09234069287776947]
epoch=40, time=2.016368 s[1.1516949127218106, 0.09506246075034142]
epoch=41, time=0.750863 s[0.9320431253693898, 0.11768306791782379]
epoch=42, time=0.848746 s[1.0035573508544275, 0.13503342866897583]
epoch=43, time=0.858896 s[1.2812312979270433, 0.1015644408762455]
epoch=44, time=0.856131 s[1.3647483191349083, 0.08468275517225266]
epoch=45, time=0.875312 s[1.6653325696646162, 0.07643056660890579]
epoch=46, time=0.893233 s[1.0894266105383714, 0.08877848461270332]
epoch=47, time=0.830338 s[1.0156477099304764, 0.10016696155071259]
epoch=48, time=0.906212 s[1.0434113665767706, 0.09205248206853867]
epoch=49, time=0.877245 s[1.214826453578029, 0.08289556950330734]
epoch=50, time=1.181149 s[1.1072189201749576, 0.09612077102065086]
epoch=51, time=0.764847 s[1.1055992908224481, 0.10432902723550797]
epoch=52, time=0.867629 s[1.2617010374453477, 0.08292140066623688]
epoch=53, time=0.898040 s[1.1025700858386052, 0.09165610000491142]
epoch=54, time=0.866546 s[1.0678659082655948, 0.09201978519558907]
epoch=55, time=0.886263 s[1.0732845859984874, 0.08107766136527061]
epoch=56, time=0.874459 s[1.0373072685500013, 0.09393143653869629]
epoch=57, time=0.854611 s[1.0590727841292535, 0.09476109221577644]
epoch=58, time=0.858775 s[1.1397254748388066, 0.09276330843567848]
epoch=59, time=0.873406 s[1.5588390843393518, 0.07399419322609901]
epoch=60, time=1.160719 s[1.1612982340562474, 0.07925999537110329]
epoch=61, time=0.759343 s[1.0401193405453912, 0.08550645038485527]
epoch=62, time=0.867512 s[1.0946610301101987, 0.07863052934408188]
epoch=63, time=0.869551 s[1.08719564785647, 0.08059914410114288]
epoch=64, time=0.859643 s[1.0205379665644077, 0.10688884928822517]
epoch=65, time=0.861879 s[1.0611031452711441, 0.10590624064207077]
epoch=66, time=0.864950 s[1.1353848580379713, 0.10130199790000916]
epoch=67, time=0.863307 s[0.9856446620448989, 0.09594948217272758]
epoch=68, time=0.861022 s[1.0447683453684835, 0.09807654470205307]
epoch=69, time=0.863424 s[1.1115270824222059, 0.09143994748592377]
epoch=70, time=1.048527 s[1.282875809455774, 0.08285105600953102]
epoch=71, time=0.761309 s[1.0343768687973385, 0.08535968139767647]
epoch=72, time=0.863772 s[1.0568151001561898, 0.08113598451018333]
epoch=73, time=0.868243 s[1.0716689572705662, 0.08141342923045158]
epoch=74, time=0.866373 s[1.1160260301225753, 0.09010596573352814]
epoch=75, time=0.864506 s[1.16429739220566, 0.0927613377571106]
epoch=76, time=0.886974 s[1.3666978855926506, 0.06977386027574539]
epoch=77, time=0.863178 s[1.1589480874870164, 0.07102543488144875]
