[1.8245366219725194, 0.23133475333452225]
epoch=0, time=3.069778 s[2.354841276780042, 0.15260807424783707]
epoch=1, time=0.746583 s[1.4543709265753377, 0.12661880999803543]
epoch=2, time=0.838368 s[1.1393813081012656, 0.19347535073757172]
epoch=3, time=0.844229 s[1.05663406852041, 0.24609056115150452]
epoch=4, time=0.806289 s[0.7627424295164364, 0.3288387954235077]
epoch=5, time=0.814614 s[0.7325441195250252, 0.2763153910636902]
epoch=6, time=0.807486 s[2.166322057777109, 0.1896519958972931]
epoch=7, time=0.810414 s[1.3526822696513368, 0.1608320102095604]
epoch=8, time=0.847364 s[1.0603138864691641, 0.19423239678144455]
epoch=9, time=0.834647 s[1.0834725917816455, 0.23126383870840073]
epoch=10, time=1.041445 s[1.1721113568322203, 0.16330497711896896]
epoch=11, time=0.766871 s[0.9474036311340397, 0.17070085555315018]
epoch=12, time=0.834462 s[1.365042314708427, 0.14743178710341454]
epoch=13, time=0.851541 s[1.6464628425215069, 0.13811538740992546]
epoch=14, time=0.848694 s[1.2015168762561539, 0.13090603426098824]
epoch=15, time=0.830176 s[1.021470922241078, 0.17292211204767227]
epoch=16, time=0.816260 s[1.1473722003436326, 0.17878101021051407]
epoch=17, time=0.837541 s[1.0246246493524624, 0.17829150706529617]
epoch=18, time=0.878348 s[1.4948519091291832, 0.10655228048563004]
epoch=19, time=0.836621 s[2.1048373276424726, 0.07935499772429466]
epoch=20, time=1.046833 s[1.3282965227074204, 0.09909640625119209]
epoch=21, time=0.761384 s[1.1689988934297904, 0.09360281750559807]
epoch=22, time=0.818779 s[1.0401695966572855, 0.10453509166836739]
epoch=23, time=0.849316 s[1.0276025145247731, 0.10808709636330605]
epoch=24, time=0.845636 s[0.9878253323758943, 0.10708364099264145]
epoch=25, time=0.888709 s[1.0058650503608435, 0.10685881227254868]
epoch=26, time=0.845261 s[1.298104552152119, 0.07687678933143616]
epoch=27, time=0.821910 s[1.6067470403256734, 0.07021189853549004]
epoch=28, time=0.867340 s[1.1814077020753782, 0.07798096537590027]
epoch=29, time=0.865501 s[1.103141088187674, 0.08861672133207321]
epoch=30, time=1.062371 s[0.9653382377893165, 0.12619847059249878]
epoch=31, time=0.762656 s[1.1338460039624398, 0.10769365727901459]
