[1.6099771251103774, 0.23873981833457947]
epoch=91, time=0.739742 s[1.0680187275743391, 0.042214687913656235]
epoch=92, time=0.831175 s[1.4198791996451932, 0.039192236959934235]
epoch=93, time=0.826462 s[1.1440690320175162, 0.03754756972193718]
epoch=94, time=0.822774 s[0.949167395135271, 0.038508931174874306]
epoch=95, time=0.828437 s[0.9382861861764753, 0.043168796226382256]
epoch=96, time=0.828347 s[0.9415356399007924, 0.04437119700014591]
epoch=97, time=0.833336 s[0.9970595968942273, 0.039692992344498634]
epoch=98, time=0.830926 s[1.2446469211575748, 0.04236932098865509]
epoch=99, time=0.828616 s[1.1883164947310485, 0.04026223346590996]
epoch=100, time=1.077487 s[0.9478962566433939, 0.04036673530936241]
epoch=101, time=0.736572 s[0.9345652036097877, 0.039222072809934616]
epoch=102, time=0.866150 s[1.0173048356973409, 0.040373342111706734]
epoch=103, time=0.920473 s[1.1326499089658666, 0.04225153475999832]
epoch=104, time=0.791713 s[1.117882980019321, 0.040592607110738754]
epoch=105, time=0.832943 s[0.9589907734776165, 0.03899765945971012]
epoch=106, time=0.838234 s[0.9574039337004286, 0.04055072367191315]
epoch=107, time=0.829585 s[0.9173673534755971, 0.041086381301283836]
epoch=108, time=0.834941 s[0.9247071159273674, 0.0432727076113224]
epoch=109, time=0.845506 s[1.1356146231997064, 0.04569193534553051]
epoch=110, time=1.016080 s[1.4228027621752446, 0.037377048283815384]
epoch=111, time=0.732342 s[1.2686965038395934, 0.038349881768226624]
epoch=112, time=0.835501 s[1.0192013122475878, 0.03509176895022392]
epoch=113, time=0.836817 s[1.0081224878378394, 0.03432985581457615]
epoch=114, time=0.834730 s[1.0309712684646342, 0.03571739234030247]
epoch=115, time=0.828314 s[1.0497819629398082, 0.03412631340324879]
epoch=116, time=0.840869 s[1.0246192960524667, 0.036353712901473045]
epoch=117, time=0.853371 s[0.9723392486902349, 0.03791572153568268]
epoch=118, time=0.852502 s[1.0744754017393352, 0.03909286670386791]
epoch=119, time=1.204525 s[1.2283936129554576, 0.04160342924296856]
epoch=120, time=1.156179 s[0.9488525197385766, 0.04427584074437618]
