[4.144647732080754, 0.15942449495196342]
epoch=0, time=11.727703 s[1.9600268757284087, 0.10868578776717186]
epoch=1, time=3.275770 s[1.3768441909605902, 0.0817970298230648]
epoch=2, time=3.787272 s[1.2709288933405192, 0.07308525964617729]
epoch=3, time=3.722973 s[1.2751971218515161, 0.06226121075451374]
epoch=4, time=3.894062 s[1.2138582247532974, 0.060308199375867844]
epoch=5, time=3.834269 s[1.1870516167816463, 0.05759880319237709]
epoch=6, time=3.792159 s[1.3830306159956738, 0.05314784497022629]
epoch=7, time=3.830889 s[1.2898214616906205, 0.053772419691085815]
epoch=8, time=3.880093 s[1.1605270683178197, 0.06056350655853748]
epoch=9, time=3.899345 s[1.0986754096740494, 0.08151086419820786]
epoch=10, time=4.488346 s[1.4405012870612626, 0.11471971124410629]
epoch=11, time=3.337799 s[2.484591565696917, 0.20163936913013458]
epoch=12, time=3.832666 s[1.086321326036233, 0.32613638043403625]
epoch=13, time=3.835097 s[0.7732268074787552, 0.28085894882678986]
epoch=14, time=3.880291 s[0.6083509446980386, 0.25521616637706757]
epoch=15, time=3.938556 s[0.5821031244169788, 0.2541166990995407]
epoch=16, time=3.837602 s[0.5670593723491646, 0.2527022510766983]
epoch=17, time=3.841354 s[0.5646791059581888, 0.25558778643608093]
epoch=18, time=3.907808 s[0.5639843760646035, 0.2562958002090454]
epoch=19, time=3.908164 s[0.5623858927777327, 0.2547270506620407]
epoch=20, time=4.561624 s[0.5615231460345949, 0.2534411996603012]
epoch=21, time=3.432339 s[0.5607723776227436, 0.2507037967443466]
epoch=22, time=3.952927 s[0.559906276366128, 0.24744674563407898]
epoch=23, time=3.876260 s[0.5597569249943211, 0.242336243391037]
epoch=24, time=3.881850 s[0.5602149452013844, 0.24529419839382172]
epoch=25, time=3.867366 s[0.5590887812658245, 0.24719520658254623]
epoch=26, time=3.843188 s[0.558327956288443, 0.25628289580345154]
epoch=27, time=3.827941 s[0.558796843033902, 0.2575834095478058]
epoch=28, time=4.057979 s[0.5593675973088044, 0.2396349385380745]
epoch=29, time=3.982563 s[0.558776638135114, 0.24667241424322128]
epoch=30, time=4.685452 s[0.5581744990180519, 0.24418680369853973]
epoch=31, time=3.462615 s[1.459630830222401, 0.2090792879462242]
epoch=32, time=3.963755 s[2.1251498541992158, 0.15027104318141937]
epoch=33, time=3.867513 s[0.8339960758593274, 0.13268915563821793]
epoch=34, time=3.897977 s[0.6023793108484276, 0.1413164734840393]
epoch=35, time=3.857771 s[0.5841800400792464, 0.13426171988248825]
epoch=36, time=3.920596 s[0.5715429289112512, 0.12906888127326965]
epoch=37, time=3.977445 s[0.5671830742389812, 0.12699811160564423]
epoch=38, time=4.129922 s[0.566281222752733, 0.1287667453289032]
epoch=39, time=3.969365 s[0.5658970731830301, 0.12617932260036469]
epoch=40, time=5.155268 s[0.6757020342392754, 0.13657309114933014]
epoch=41, time=3.618165 s[0.588795066661376, 0.13691137731075287]
epoch=42, time=3.900428 s[0.5740573691149148, 0.13358571380376816]
epoch=43, time=4.121644 s[0.5663851171316827, 0.12958425283432007]
epoch=44, time=3.922874 s[0.5654738325382347, 0.1266469582915306]
epoch=45, time=4.062056 s[0.5637328312212389, 0.129820317029953]
epoch=46, time=4.078565 s[0.5652209835113202, 0.12468533217906952]
epoch=47, time=4.027616 s[0.5627247614797088, 0.1266804113984108]
epoch=48, time=4.040740 s
