[1.3715026163118744, 0.1426718905568123]
epoch=0, time=3.402319 s[1.0414702938781843, 0.14349468052387238]
epoch=1, time=0.781731 s[0.9812686373868977, 0.15579432249069214]
epoch=2, time=0.864997 s[0.8871107710794702, 0.1574396789073944]
epoch=3, time=0.871125 s[0.9922627500226999, 0.1696065291762352]
epoch=4, time=0.947068 s[0.7855716393445968, 0.20763032883405685]
epoch=5, time=0.928490 s[0.6885919747835092, 0.2227233275771141]
epoch=6, time=0.881209 s[0.9162601963140709, 0.17783869802951813]
epoch=7, time=0.878722 s[1.7772237512360918, 0.14527037739753723]
epoch=8, time=0.888813 s[1.0798398053458673, 0.1572452038526535]
epoch=9, time=0.876824 s[0.9283276666018901, 0.19210177659988403]
epoch=10, time=1.094166 s[0.7944955440835417, 0.20681282877922058]
epoch=11, time=0.771570 s[0.7968823572854171, 0.18013425171375275]
epoch=12, time=0.876031 s[1.4211136987906707, 0.170558899641037]
epoch=13, time=0.881949 s[1.3439605968013342, 0.10054363682866096]
epoch=14, time=0.896314 s[1.123927784048783, 0.095883809030056]
epoch=15, time=0.871010 s[1.016351744075434, 0.09678986668586731]
epoch=16, time=0.884823 s[0.9571939479029308, 0.10633673146367073]
epoch=17, time=0.864274 s[0.952070193546779, 0.10820979252457619]
epoch=18, time=0.854215 s[0.9573965894736385, 0.12810678035020828]
epoch=19, time=0.829720 s[0.8832264599089974, 0.13884292542934418]
epoch=20, time=1.115379 s[0.8412196780809161, 0.13792754709720612]
epoch=21, time=0.769079 s[0.8400896997289335, 0.13459385186433792]
epoch=22, time=0.884142 s[0.8252492644967204, 0.13335813581943512]
epoch=23, time=0.883236 s[0.8623632219498492, 0.129618301987648]
epoch=24, time=0.876162 s[0.898740930916381, 0.12141427770256996]
epoch=25, time=0.881462 s[0.9857447865535689, 0.11736605688929558]
epoch=26, time=0.896286 s[1.0579594181847398, 0.110621627420187]
epoch=27, time=0.853551 s[1.2814714124784499, 0.10405442863702774]
epoch=28, time=0.869152 s[0.9786272671780003, 0.10690553858876228]
epoch=29, time=0.882586 s[1.0310566013776368, 0.10621581226587296]
epoch=30, time=1.048581 s[0.9298896368334981, 0.11031904816627502]
epoch=31, time=0.781664 s[0.9742060733497866, 0.11001238226890564]
epoch=32, time=0.879431 s[1.2076496884850374, 0.09098383411765099]
epoch=33, time=0.829701 s[1.8380385852189414, 0.06988459080457687]
epoch=34, time=0.920344 s[1.237004394204471, 0.08470641449093819]
epoch=35, time=0.919084 s[1.082470107084661, 0.08313488215208054]
epoch=36, time=0.924307 s[1.1329919347913298, 0.08376922085881233]
epoch=37, time=0.915826 s[1.0891299874636804, 0.09112579375505447]
epoch=38, time=0.892734 s[1.0571441698879274, 0.09527455270290375]
epoch=39, time=0.899919 s[0.9831692364269111, 0.1054738387465477]
epoch=40, time=1.088923 s[1.0379968778577284, 0.10505526512861252]
epoch=41, time=0.778175 s[1.1753363530381422, 0.10824714973568916]
epoch=42, time=0.900693 s[1.043053007228895, 0.10464929789304733]
epoch=43, time=0.920060 s[1.026424955448054, 0.09908488392829895]
epoch=44, time=0.880475 s[1.0341490593855072, 0.09861556440591812]
epoch=45, time=0.899945 s[1.029445841234934, 0.1030939482152462]
epoch=46, time=0.881594 s[0.9387293379928697, 0.11100456118583679]
epoch=47, time=0.899302 s[0.9822117771756992, 0.10929415374994278]
epoch=48, time=0.899899 s[0.9056817977386769, 0.11359492316842079]
epoch=49, time=0.887591 s[0.9394955216548635, 0.12302294373512268]
epoch=50, time=1.140016 s[1.1956238209507624, 0.11318551748991013]
epoch=51, time=0.793976 s[1.1184236135546803, 0.11280517280101776]
epoch=52, time=0.879855 s[1.1423226216173497, 0.10576670989394188]
epoch=53, time=0.911908 s[1.1246998238555, 0.10950104892253876]
epoch=54, time=0.891250 s[0.99459531814173, 0.1115068569779396]
epoch=55, time=0.932335 s[0.9279908650290274, 0.12273161113262177]
epoch=56, time=0.894372 s[0.927531974204003, 0.12199435383081436]
epoch=57, time=0.895098 s[1.0083898884267508, 0.11972031369805336]
epoch=58, time=0.895551 s[1.0719400182704915, 0.1100952997803688]
epoch=59, time=0.865471 s[1.5284203382801946, 0.10147716850042343]
epoch=60, time=1.097091 s[0.9882431009744703, 0.10100230202078819]
epoch=61, time=0.786446 s[0.9574087757640294, 0.10342980921268463]
epoch=62, time=0.883794 s[0.9805976894925106, 0.10751103609800339]
epoch=63, time=0.890126 s[0.9537676438129613, 0.11522495746612549]
epoch=64, time=0.897177 s[0.9338821677434496, 0.11783235520124435]
epoch=65, time=0.892532 s[0.8670096786111267, 0.1201317049562931]
epoch=66, time=0.873462 s[0.9717578176802014, 0.11942383646965027]
epoch=67, time=0.876629 s[1.085202020351554, 0.10041901096701622]
epoch=68, time=0.896399 s[1.2281469914669574, 0.09943946450948715]
epoch=69, time=0.856836 s[0.9932449786935832, 0.10215380787849426]
epoch=70, time=1.063347 s[0.911014773887419, 0.10787007957696915]
epoch=71, time=0.798267 s[0.8613093528361399, 0.11985282599925995]
epoch=72, time=0.852032 s[0.8810845868782347, 0.12024722993373871]
epoch=73, time=0.871955 s[0.8768607739916973, 0.12100590392947197]
epoch=74, time=0.871115 s[0.8750744456137618, 0.12624013051390648]
epoch=75, time=0.862421 s[0.9878538796461851, 0.1176927238702774]
epoch=76, time=0.889080 s[1.3318328041937295, 0.09301803633570671]
epoch=77, time=0.853686 s[1.5983938541944873, 0.08197959512472153]
epoch=78, time=0.893311 s[1.0180381443959503, 0.09726927429437637]
epoch=79, time=0.889918 s[0.9453045361808439, 0.09796769171953201]
epoch=80, time=1.131283 s[0.9664644402401423, 0.09790441393852234]
epoch=81, time=0.786425 s[0.9195528929607778, 0.10638664290308952]
