[1.3507374797061678, 0.154326394200325]
epoch=0, time=41.096348 s[1.0049500625650918, 0.16438619792461395]
epoch=1, time=0.713989 s[0.8920436626478248, 0.17112939804792404]
epoch=2, time=0.819178 s[0.8890720375199346, 0.18017419427633286]
epoch=3, time=0.821756 s[0.8278024608997108, 0.20180045068264008]
epoch=4, time=0.801059 s[0.8620057199880408, 0.19460231065750122]
epoch=5, time=0.826220 s[1.1396832629324725, 0.20281417667865753]
epoch=6, time=0.811231 s[0.8291491929084802, 0.20802545547485352]
epoch=7, time=0.809652 s[0.8359709423399297, 0.19201260805130005]
epoch=8, time=0.830456 s[1.9315131370869456, 0.1375783309340477]
epoch=9, time=0.808713 s[1.1871804260728605, 0.13884612917900085]
epoch=10, time=1.597408 s[1.095721891370284, 0.1174318827688694]
epoch=11, time=0.715188 s[1.0423364390666325, 0.13231346011161804]
epoch=12, time=0.824405 s[1.0719987477466186, 0.12417997047305107]
epoch=13, time=0.829113 s[1.0109794145604991, 0.12972456961870193]
epoch=14, time=0.817062 s[1.0199237707704274, 0.13120510056614876]
epoch=15, time=0.832994 s[1.140558650242199, 0.13975141197443008]
epoch=16, time=0.814529 s[0.908761490390871, 0.140149787068367]
epoch=17, time=0.832472 s[0.8987302005828717, 0.14696121215820312]
epoch=18, time=0.822821 s[0.8081627862153266, 0.15210940688848495]
epoch=19, time=0.822076 s[0.8702672397678608, 0.16791393607854843]
epoch=20, time=1.373562 s[0.8298057359688996, 0.16934806108474731]
epoch=21, time=0.746061 s[1.3213816453213372, 0.1491011083126068]
epoch=22, time=0.837725 s[0.8507633238759995, 0.15273358672857285]
epoch=23, time=0.834706 s[0.9113690121004868, 0.14591975510120392]
epoch=24, time=0.816841 s[0.8146519474132847, 0.1543101891875267]
epoch=25, time=0.819537 s[0.7939726488146295, 0.15976011008024216]
epoch=26, time=0.823560 s[0.8217243872240098, 0.16224873811006546]
epoch=27, time=0.821186 s[0.8417466331619623, 0.16716931015253067]
epoch=28, time=0.822109 s[0.7965936746900744, 0.15384689718484879]
epoch=29, time=0.824620 s[0.8404257006623673, 0.1475875973701477]
epoch=30, time=1.783306 s[1.0661059316277268, 0.13865891844034195]
epoch=31, time=0.753859 s[0.9715575704258801, 0.1377384439110756]
