[1.596588486068606, 0.21773362159729004]
epoch=0, time=3.651163 s[1.3419749779204373, 0.19817844033241272]
epoch=1, time=0.584679 s[1.1727444820225124, 0.1846129596233368]
epoch=2, time=0.764151 s[1.9289323185354716, 0.16109147667884827]
epoch=3, time=0.760054 s[2.6215131705187193, 0.12821011245250702]
epoch=4, time=0.769318 s[1.27434185012432, 0.12148213386535645]
epoch=5, time=0.773552 s[1.2507693387708905, 0.1336594521999359]
epoch=6, time=0.764983 s[1.2175542255291836, 0.1349421739578247]
epoch=7, time=0.770955 s[1.1283556146121385, 0.16298043727874756]
epoch=8, time=0.769379 s[1.1204462911851611, 0.1535917967557907]
epoch=9, time=0.769444 s[1.4005544979707263, 0.11658687889575958]
epoch=10, time=1.076033 s[1.6584232625590811, 0.08494361490011215]
epoch=11, time=0.581987 s[1.3537496934224926, 0.08344763517379761]
epoch=12, time=0.772508 s[1.1474872985576088, 0.08551527559757233]
epoch=13, time=0.771559 s[1.1279478661146114, 0.08505777269601822]
epoch=14, time=0.781111 s[1.1068432286130807, 0.09106871485710144]
epoch=15, time=0.772121 s[1.3047630490420918, 0.08724720776081085]
epoch=16, time=0.770878 s[1.314684394532443, 0.084090955555439]
epoch=17, time=0.770622 s[1.2115740401484294, 0.08868440985679626]
epoch=18, time=0.769517 s[1.0857992912786785, 0.10634082555770874]
epoch=19, time=0.775113 s[0.9694412243143944, 0.11241708695888519]
epoch=20, time=1.075525 s[0.9800494704090769, 0.11030267179012299]
epoch=21, time=0.586557 s[0.9909703787837472, 0.11508845537900925]
epoch=22, time=0.771250 s[0.9919372907428198, 0.11716367304325104]
epoch=23, time=0.776164 s[1.0448053881539816, 0.10375797748565674]
epoch=24, time=0.777948 s[1.0884831490639848, 0.10430401563644409]
epoch=25, time=0.776669 s[2.055859529971517, 0.07134362310171127]
epoch=26, time=0.777633 s[2.1546401852447916, 0.06463471055030823]
epoch=27, time=0.775811 s[1.1353952759963537, 0.07350657880306244]
epoch=28, time=0.774672 s[1.409681441408868, 0.08759432286024094]
epoch=29, time=0.784189 s[1.2441903318809344, 0.07982375472784042]
epoch=30, time=1.082997 s[1.165935479337111, 0.06587965786457062]
epoch=31, time=0.592365 s[1.1584352334098076, 0.07106989622116089]
epoch=32, time=0.777560 s[1.1327662143165362, 0.07509356737136841]
epoch=33, time=0.774193 s[1.088753874034013, 0.08365020155906677]
epoch=34, time=0.770837 s[1.1502590773763808, 0.08162237703800201]
epoch=35, time=0.774107 s[1.212848389750052, 0.0923844426870346]
epoch=36, time=0.781112 s[1.055267731745006, 0.0950760543346405]
epoch=37, time=0.778077 s[1.0650589109699928, 0.09754761308431625]
epoch=38, time=0.785233 s[0.9935558131489836, 0.10158467292785645]
epoch=39, time=0.805252 s[1.075988546688051, 0.10468649119138718]
epoch=40, time=1.069188 s[1.0457211398209703, 0.10467668622732162]
epoch=41, time=0.593054 s[1.0842670758683297, 0.09599334001541138]
epoch=42, time=0.780054 s[1.2227002556573727, 0.08798859268426895]
epoch=43, time=0.781842 s[1.5765141128605216, 0.07827090471982956]
epoch=44, time=0.776324 s[1.2571500569877712, 0.0738917738199234]
epoch=45, time=0.781088 s[1.3347347440551667, 0.07141921669244766]
epoch=46, time=0.774314 s[1.329912730200217, 0.09511534869670868]
epoch=47, time=0.784496 s[1.2297294424028338, 0.111286461353302]
epoch=48, time=0.786306 s[1.0750927438265667, 0.1089809462428093]
epoch=49, time=0.778935 s[1.0299538568632667, 0.11238881945610046]
epoch=50, time=1.091804 s[1.144678069591054, 0.10524219274520874]
epoch=51, time=0.592039 s[1.0758682557825532, 0.09586338698863983]
epoch=52, time=0.782954 s[1.1039247812893753, 0.09719894081354141]
epoch=53, time=0.779097 s[1.1659310753068177, 0.08769947290420532]
epoch=54, time=0.788724 s[1.4057423202108126, 0.08328502625226974]
epoch=55, time=0.782527 s[1.2787159967827324, 0.07094474136829376]
epoch=56, time=0.777376 s[1.2543512041215288, 0.07533273845911026]
epoch=57, time=0.782699 s[1.1141693180619083, 0.09118345379829407]
epoch=58, time=0.794519 s[1.0688275895415238, 0.10186858475208282]
epoch=59, time=0.774897 s[1.014205524828466, 0.09710043668746948]
epoch=60, time=1.090075 s[1.0717654939327206, 0.08738697320222855]
epoch=61, time=0.594799 s[1.16206389387332, 0.0813603550195694]
